year,business,visit,holiday,other
2009,5,7,7,17
2010,5,7,7,13
2011,5,7,6,15
2012,5,7,6,14
2013,5,7,6,14
2014,5,7,6,12
2015,5,7,6,11
2016,5,7,6,10
